DocumentId	FileName	ClusterId	ClusterSize
1	C:\Temp\Acquisitions\10025	1	1
2	C:\Temp\Acquisitions\10042	2	1
3	C:\Temp\Acquisitions\10066	3	1
4	C:\Temp\Acquisitions\10158	4	1
5	C:\Temp\Acquisitions\10171	5	1
6	C:\Temp\Acquisitions\1029	6	1
7	C:\Temp\Acquisitions\1032	7	1
8	C:\Temp\Acquisitions\10335	8	1
9	C:\Temp\Acquisitions\10348	9	1
10	C:\Temp\Acquisitions\10371	10	1
11	C:\Temp\Acquisitions\10473	11	1
12	C:\Temp\Acquisitions\10527	12	1
13	C:\Temp\Acquisitions\10541	13	1
14	C:\Temp\Acquisitions\10674	14	1
15	C:\Temp\Acquisitions\10694	15	1
16	C:\Temp\Acquisitions\10714	16	1
17	C:\Temp\Acquisitions\10721	17	1
18	C:\Temp\Acquisitions\10784	18	1
19	C:\Temp\Acquisitions\10787	19	1
20	C:\Temp\Acquisitions\10816	20	1
21	C:\Temp\Acquisitions\10867	21	1
22	C:\Temp\Acquisitions\10872	22	1
23	C:\Temp\Acquisitions\10883	23	1
24	C:\Temp\Acquisitions\10899	24	1
25	C:\Temp\Acquisitions\10908	25	1
26	C:\Temp\Acquisitions\10928	26	1
27	C:\Temp\Acquisitions\10961	27	1
28	C:\Temp\Acquisitions\10969	28	1
29	C:\Temp\Acquisitions\1099	29	1
30	C:\Temp\Acquisitions\10994	30	1
31	C:\Temp\Acquisitions\11048	31	1
32	C:\Temp\Acquisitions\11051	32	1
33	C:\Temp\Acquisitions\11086	33	1
34	C:\Temp\Acquisitions\11095	34	1
35	C:\Temp\Acquisitions\11113	35	1
36	C:\Temp\Acquisitions\11126	36	1
37	C:\Temp\Acquisitions\11161	37	1
38	C:\Temp\Acquisitions\11192	38	1
39	C:\Temp\Acquisitions\11213	39	1
40	C:\Temp\Acquisitions\11237	40	1
41	C:\Temp\Acquisitions\11242	41	1
42	C:\Temp\Acquisitions\11268	42	1
43	C:\Temp\Acquisitions\11349	43	1
44	C:\Temp\Acquisitions\11362	44	1
45	C:\Temp\Acquisitions\11449	45	1
46	C:\Temp\Acquisitions\11465	46	1
47	C:\Temp\Acquisitions\11468	47	1
48	C:\Temp\Acquisitions\11484	48	1
49	C:\Temp\Acquisitions\11514	49	1
50	C:\Temp\Acquisitions\11515	50	1
51	C:\Temp\Acquisitions\1153	51	1
52	C:\Temp\Acquisitions\11539	52	1
53	C:\Temp\Acquisitions\11550	53	1
54	C:\Temp\Acquisitions\11553	54	1
55	C:\Temp\Acquisitions\11579	55	1
56	C:\Temp\Acquisitions\1159	56	1
57	C:\Temp\Acquisitions\11722	57	1
58	C:\Temp\Acquisitions\11744	58	1
59	C:\Temp\Acquisitions\11854	59	1
60	C:\Temp\Acquisitions\11923	60	1
61	C:\Temp\Acquisitions\11968	61	1
62	C:\Temp\Acquisitions\11982	62	1
63	C:\Temp\Acquisitions\11996	63	1
64	C:\Temp\Acquisitions\11997	64	1
65	C:\Temp\Acquisitions\12053	65	1
66	C:\Temp\Acquisitions\12068	66	1
67	C:\Temp\Acquisitions\12087	67	1
68	C:\Temp\Acquisitions\12093	68	1
69	C:\Temp\Acquisitions\1217	69	1
70	C:\Temp\Acquisitions\12173	70	1
71	C:\Temp\Acquisitions\12191	71	1
72	C:\Temp\Acquisitions\12225	72	1
73	C:\Temp\Acquisitions\12236	73	1
74	C:\Temp\Acquisitions\12339	74	1
75	C:\Temp\Acquisitions\12344	75	1
76	C:\Temp\Acquisitions\12345	76	1
77	C:\Temp\Acquisitions\12378	77	1
78	C:\Temp\Acquisitions\12386	78	1
79	C:\Temp\Acquisitions\12390	79	1
80	C:\Temp\Acquisitions\12492	80	1
81	C:\Temp\Acquisitions\12504	81	1
82	C:\Temp\Acquisitions\12512	82	1
83	C:\Temp\Acquisitions\12529	83	1
84	C:\Temp\Acquisitions\12532	84	1
85	C:\Temp\Acquisitions\12538	85	1
86	C:\Temp\Acquisitions\12620	86	1
87	C:\Temp\Acquisitions\12646	87	1
88	C:\Temp\Acquisitions\12688	88	1
89	C:\Temp\Acquisitions\12699	89	1
90	C:\Temp\Acquisitions\12751	90	1
91	C:\Temp\Acquisitions\12759	91	1
92	C:\Temp\Acquisitions\12767	92	1
93	C:\Temp\Acquisitions\128	93	1
94	C:\Temp\Acquisitions\12822	94	1
95	C:\Temp\Acquisitions\12852	95	1
96	C:\Temp\Acquisitions\12858	96	1
97	C:\Temp\Acquisitions\12890	97	1
98	C:\Temp\Acquisitions\12900	98	1
99	C:\Temp\Acquisitions\1291	99	1
100	C:\Temp\Acquisitions\12933	100	1
101	C:\Temp\Acquisitions\12937	101	1
102	C:\Temp\Acquisitions\12956	102	1
103	C:\Temp\Acquisitions\12965	103	1
104	C:\Temp\Acquisitions\12974	104	1
105	C:\Temp\Acquisitions\12996	105	1
106	C:\Temp\Acquisitions\13005	106	1
107	C:\Temp\Acquisitions\13036	107	1
108	C:\Temp\Acquisitions\13043	108	1
109	C:\Temp\Acquisitions\13060	109	1
110	C:\Temp\Acquisitions\13077	110	1
111	C:\Temp\Acquisitions\13090	111	1
112	C:\Temp\Acquisitions\13095	112	1
113	C:\Temp\Acquisitions\13168	113	1
114	C:\Temp\Acquisitions\13175	114	1
115	C:\Temp\Acquisitions\13189	115	1
116	C:\Temp\Acquisitions\13194	116	1
117	C:\Temp\Acquisitions\13196	117	1
118	C:\Temp\Acquisitions\13265	118	1
119	C:\Temp\Acquisitions\13393	119	1
120	C:\Temp\Acquisitions\134	120	1
121	C:\Temp\Acquisitions\135	121	1
122	C:\Temp\Acquisitions\13787	122	1
123	C:\Temp\Acquisitions\13790	123	1
124	C:\Temp\Acquisitions\13874	124	1
125	C:\Temp\Acquisitions\14099	125	1
126	C:\Temp\Acquisitions\14131	126	1
127	C:\Temp\Acquisitions\14315	127	1
128	C:\Temp\Acquisitions\14582	128	1
129	C:\Temp\Acquisitions\14604	129	1
130	C:\Temp\Acquisitions\14619	130	1
131	C:\Temp\Acquisitions\14679	131	1
132	C:\Temp\Acquisitions\14888	132	1
133	C:\Temp\Acquisitions\14900	133	1
134	C:\Temp\Acquisitions\14907	134	1
135	C:\Temp\Acquisitions\14949	135	1
136	C:\Temp\Acquisitions\15004	136	1
137	C:\Temp\Acquisitions\15024	137	1
138	C:\Temp\Acquisitions\15031	138	1
139	C:\Temp\Acquisitions\1506	139	1
140	C:\Temp\Acquisitions\15210	140	1
141	C:\Temp\Acquisitions\15366	141	1
142	C:\Temp\Acquisitions\15404	142	1
143	C:\Temp\Acquisitions\15479	143	1
144	C:\Temp\Acquisitions\15501	144	1
145	C:\Temp\Acquisitions\15545	145	1
146	C:\Temp\Acquisitions\15561	146	1
147	C:\Temp\Acquisitions\15575	147	1
148	C:\Temp\Acquisitions\15591	148	1
149	C:\Temp\Acquisitions\15600	149	1
150	C:\Temp\Acquisitions\1577	150	1
151	C:\Temp\Acquisitions\1584	151	1
152	C:\Temp\Acquisitions\15879	152	1
153	C:\Temp\Acquisitions\15918	153	1
154	C:\Temp\Acquisitions\15970	154	1
155	C:\Temp\Acquisitions\15995	155	1
156	C:\Temp\Acquisitions\16007	156	1
157	C:\Temp\Acquisitions\16021	157	1
158	C:\Temp\Acquisitions\16029	158	1
159	C:\Temp\Acquisitions\16037	159	1
160	C:\Temp\Acquisitions\16152	160	1
161	C:\Temp\Acquisitions\16176	161	1
162	C:\Temp\Acquisitions\16203	162	1
163	C:\Temp\Acquisitions\16215	163	1
164	C:\Temp\Acquisitions\16233	164	1
165	C:\Temp\Acquisitions\1626	165	1
166	C:\Temp\Acquisitions\16370	166	1
167	C:\Temp\Acquisitions\16379	167	1
168	C:\Temp\Acquisitions\16398	168	1
169	C:\Temp\Acquisitions\16419	169	1
170	C:\Temp\Acquisitions\16443	170	1
171	C:\Temp\Acquisitions\16450	171	1
172	C:\Temp\Acquisitions\16465	172	1
173	C:\Temp\Acquisitions\16475	173	1
174	C:\Temp\Acquisitions\16483	174	1
175	C:\Temp\Acquisitions\16510	175	1
176	C:\Temp\Acquisitions\16512	176	1
177	C:\Temp\Acquisitions\16555	177	1
178	C:\Temp\Acquisitions\16577	178	1
179	C:\Temp\Acquisitions\16583	179	1
180	C:\Temp\Acquisitions\1659	180	1
181	C:\Temp\Acquisitions\16591	181	1
182	C:\Temp\Acquisitions\16597	182	1
183	C:\Temp\Acquisitions\16652	183	1
184	C:\Temp\Acquisitions\16656	184	1
185	C:\Temp\Acquisitions\1666	185	1
186	C:\Temp\Acquisitions\16663	186	1
187	C:\Temp\Acquisitions\16695	187	1
188	C:\Temp\Acquisitions\16700	188	1
189	C:\Temp\Acquisitions\16796	189	1
190	C:\Temp\Acquisitions\16833	190	1
191	C:\Temp\Acquisitions\16872	191	1
192	C:\Temp\Acquisitions\16874	192	1
193	C:\Temp\Acquisitions\1694	193	1
194	C:\Temp\Acquisitions\16941	194	1
195	C:\Temp\Acquisitions\17004	195	1
196	C:\Temp\Acquisitions\17053	196	1
197	C:\Temp\Acquisitions\17110	197	1
198	C:\Temp\Acquisitions\17151	198	1
199	C:\Temp\Acquisitions\17168	199	1
200	C:\Temp\Acquisitions\17178	200	1
201	C:\Temp\Acquisitions\1729	201	1
202	C:\Temp\Acquisitions\17317	202	1
203	C:\Temp\Acquisitions\17323	203	1
204	C:\Temp\Acquisitions\17333	204	1
205	C:\Temp\Acquisitions\17488	205	1
206	C:\Temp\Acquisitions\17518	206	1
207	C:\Temp\Acquisitions\17576	207	1
208	C:\Temp\Acquisitions\17595	208	1
209	C:\Temp\Acquisitions\17651	209	1
210	C:\Temp\Acquisitions\17659	210	1
211	C:\Temp\Acquisitions\17688	211	1
212	C:\Temp\Acquisitions\17694	212	1
213	C:\Temp\Acquisitions\1771	213	1
214	C:\Temp\Acquisitions\17728	214	1
215	C:\Temp\Acquisitions\17743	215	1
216	C:\Temp\Acquisitions\17770	216	1
217	C:\Temp\Acquisitions\17798	217	1
218	C:\Temp\Acquisitions\17810	218	1
219	C:\Temp\Acquisitions\17835	219	1
220	C:\Temp\Acquisitions\17837	220	1
221	C:\Temp\Acquisitions\17847	221	1
222	C:\Temp\Acquisitions\17853	222	1
223	C:\Temp\Acquisitions\17876	223	1
224	C:\Temp\Acquisitions\17907	224	1
225	C:\Temp\Acquisitions\17913	225	1
226	C:\Temp\Acquisitions\17968	226	1
227	C:\Temp\Acquisitions\17973	227	1
228	C:\Temp\Acquisitions\17981	228	1
229	C:\Temp\Acquisitions\17993	229	1
230	C:\Temp\Acquisitions\1801	230	1
231	C:\Temp\Acquisitions\18038	231	1
232	C:\Temp\Acquisitions\18111	232	1
233	C:\Temp\Acquisitions\18188	233	1
234	C:\Temp\Acquisitions\18223	234	1
235	C:\Temp\Acquisitions\18229	235	1
236	C:\Temp\Acquisitions\18342	236	1
237	C:\Temp\Acquisitions\18435	237	1
238	C:\Temp\Acquisitions\1847	238	1
239	C:\Temp\Acquisitions\18504	239	1
240	C:\Temp\Acquisitions\18590	240	1
241	C:\Temp\Acquisitions\18667	241	1
242	C:\Temp\Acquisitions\18682	242	1
243	C:\Temp\Acquisitions\18783	243	1
244	C:\Temp\Acquisitions\18859	244	1
245	C:\Temp\Acquisitions\18861	245	1
246	C:\Temp\Acquisitions\18863	246	1
247	C:\Temp\Acquisitions\18895	247	1
248	C:\Temp\Acquisitions\18921	248	1
249	C:\Temp\Acquisitions\18963	249	1
250	C:\Temp\Acquisitions\19006	250	1
251	C:\Temp\Acquisitions\19042	251	1
252	C:\Temp\Acquisitions\19137	252	1
253	C:\Temp\Acquisitions\19180	253	1
254	C:\Temp\Acquisitions\19270	254	1
255	C:\Temp\Acquisitions\19297	255	1
256	C:\Temp\Acquisitions\19343	256	1
257	C:\Temp\Acquisitions\19359	257	1
258	C:\Temp\Acquisitions\19368	258	1
259	C:\Temp\Acquisitions\19448	259	1
260	C:\Temp\Acquisitions\19464	260	1
261	C:\Temp\Acquisitions\19510	261	1
262	C:\Temp\Acquisitions\19572	262	1
263	C:\Temp\Acquisitions\19645	263	1
264	C:\Temp\Acquisitions\19649	264	1
265	C:\Temp\Acquisitions\19663	265	1
266	C:\Temp\Acquisitions\19679	266	1
267	C:\Temp\Acquisitions\19681	267	1
268	C:\Temp\Acquisitions\19683	268	1
269	C:\Temp\Acquisitions\19699	269	1
270	C:\Temp\Acquisitions\19719	270	1
271	C:\Temp\Acquisitions\19751	271	1
272	C:\Temp\Acquisitions\19767	272	1
273	C:\Temp\Acquisitions\19773	273	1
274	C:\Temp\Acquisitions\19874	274	1
